run,solution_idx,f1,f2,chromosome,n_evaluations,n_generations
0,0,183911.95279664238,13.961216120222318,"17,7,23,25,9,16,1,24,23,14,16,23,28,30,16,23,14,25,7,3,26,7,8,5,4,10,16,12,5,10,26,20,1,14,21,20,4,30,18,9,4,3,5,8,10,14,24,2,29,27,9,30,22,8,5,19,20,16,21,28,21,14,9,8,9,27,25,18,29,9,11,15,27,6,12,5,22,5,19,12,25,13,3,24,2,3,18,17,6,6,29,28,13,7,26,18,4,15,11,16,6,7,6,14,27,24,14,4,29,22,8,1,19,20,22,2,27,28,2,17,30,28,3,15",10050,200
1,0,270891.5570088619,19.101018006611294,"5,17,8,22,10,30,22,21,30,26,23,6,22,26,22,23,20,1,9,30,23,13,4,15,22,27,19,29,8,1,5,16,20,10,11,19,19,25,16,6,13,4,25,20,27,22,25,14,9,22,3,23,19,17,5,21,24,4,8,2,30,4,14,6,23,28,26,24,15,17,7,17,13,8,17,18,23,5,13,24,12,28,28,28,5,2,15,29,3,1,11,18,12,1,20,18,15,16,4,29,14,3,10,17,12,3,2,7,11,14,7,9,24,20,17,26,26,22,6,30,29,10,21,9",10050,200
1,1,266290.08243804664,23.77215925311699,"5,17,8,22,10,30,22,20,30,26,2,6,22,26,22,23,20,1,9,30,23,13,4,15,22,27,19,29,8,7,5,16,20,3,11,19,28,25,16,6,13,1,25,24,27,22,25,14,24,22,6,23,19,24,21,21,24,30,8,2,30,4,25,6,15,14,11,24,15,9,7,17,13,8,17,18,5,5,13,28,12,19,28,28,5,2,18,29,3,1,11,18,12,1,20,18,15,16,4,29,14,3,10,17,12,3,2,7,4,14,7,9,24,13,17,26,26,22,6,30,29,10,21,9",10050,200
1,2,270451.89544281416,22.29160280364684,"5,17,8,22,10,30,22,21,30,26,23,6,22,26,22,23,20,1,9,30,23,6,17,15,22,27,8,29,20,1,5,16,20,1,11,19,19,25,16,6,13,4,25,20,27,22,25,14,28,22,19,23,19,17,5,21,24,4,8,2,30,4,14,6,12,28,26,24,15,17,7,17,13,5,17,18,23,5,13,24,13,28,28,28,5,2,15,11,3,1,11,18,12,1,20,18,15,16,4,29,14,3,10,17,12,25,2,7,4,14,7,9,24,20,29,26,26,22,6,30,29,10,21,9",10050,200
2,0,237822.4865804927,16.83198014363003,"29,15,30,15,23,4,26,13,21,17,24,22,21,25,1,21,13,15,28,3,9,6,28,9,29,7,30,19,25,16,12,7,24,28,24,20,28,16,9,25,17,16,10,5,11,1,10,27,21,23,30,6,6,1,8,25,1,28,14,15,3,21,18,9,1,2,20,19,26,26,4,1,21,2,8,10,12,16,4,17,8,26,23,6,11,29,11,19,12,4,29,16,22,8,30,6,13,20,27,2,16,5,2,4,20,14,8,11,13,3,18,19,5,13,18,3,27,12,30,14,29,21,16,10",10050,200
2,1,220154.87403683274,17.227368406759698,"29,15,30,15,23,4,26,13,21,17,16,22,21,25,1,21,13,15,28,3,9,6,28,9,29,7,30,19,25,16,12,7,24,14,24,20,28,16,9,24,17,10,10,5,11,1,10,27,21,23,4,12,6,1,8,25,1,30,23,15,3,21,18,18,1,2,4,8,26,14,4,1,21,2,8,10,12,5,4,17,20,26,23,6,20,29,11,27,12,23,19,7,22,8,30,6,13,20,27,2,16,5,2,15,20,14,8,11,13,3,18,19,5,13,18,3,4,13,30,14,29,21,9,10",10050,200
3,0,215985.53847554448,19.323100740363135,"16,27,11,25,17,20,10,9,9,17,5,20,2,12,11,8,20,24,2,18,26,29,3,26,20,6,15,6,24,22,5,13,28,15,30,27,8,20,8,15,14,6,29,6,3,12,11,21,22,2,16,19,12,7,27,4,27,25,16,25,16,28,17,26,4,27,16,10,19,12,7,3,5,3,10,19,10,12,28,13,13,12,24,17,23,28,22,9,22,19,14,11,30,7,27,29,1,22,23,25,7,1,18,3,27,2,21,14,19,15,18,1,4,14,15,9,14,11,29,21,10,23,9,16",10050,200
3,1,230763.85063883435,16.928739534360563,"16,15,11,25,17,22,22,9,9,17,5,20,2,12,11,8,20,24,7,18,26,29,3,26,5,6,15,6,24,22,5,13,28,29,30,27,8,20,8,15,14,6,2,6,3,12,11,21,22,2,16,19,12,7,16,4,27,25,4,25,16,28,17,30,4,27,16,10,19,8,7,3,5,3,10,19,10,12,28,13,13,12,24,17,7,28,26,9,22,3,14,11,30,13,17,29,28,22,23,25,7,1,27,3,18,2,21,14,19,15,18,1,4,14,15,9,14,11,29,21,10,23,9,16",10050,200
4,0,240177.5986337171,18.207568633827954,"23,12,15,26,14,11,14,9,6,26,21,6,8,21,8,16,29,15,12,14,13,17,12,9,27,7,6,23,26,9,14,11,20,12,25,17,16,22,10,30,4,25,19,22,11,26,27,5,26,8,17,20,17,16,22,1,2,24,12,25,17,10,1,3,18,16,3,10,3,19,29,21,2,5,28,5,4,16,29,29,18,18,3,7,6,13,27,9,21,24,4,27,8,13,15,19,5,5,7,10,24,24,30,14,30,2,30,6,18,23,28,22,12,1,19,29,21,4,21,27,17,20,16,16",10050,200
5,0,217236.02860273904,16.806215781337837,"16,19,13,5,16,10,6,24,21,22,4,11,22,1,24,19,13,3,20,4,30,2,12,25,4,6,8,10,8,8,18,8,24,6,9,20,15,28,22,16,4,20,30,26,9,1,5,18,21,3,14,2,18,20,29,4,7,27,21,19,12,22,16,24,27,2,17,28,26,30,20,3,25,10,2,29,10,26,17,14,1,19,30,9,20,13,21,29,5,24,7,27,23,17,12,28,26,12,10,14,27,27,29,22,15,25,21,8,15,17,11,23,26,7,1,2,9,23,16,14,5,1,18,6",10050,200
6,0,230065.96505821604,18.338908243283065,"29,7,27,21,13,7,6,8,18,21,2,16,8,3,28,27,23,11,24,30,20,8,4,22,4,23,30,30,7,28,13,25,21,23,14,18,12,24,18,15,23,27,22,13,4,11,26,4,19,7,22,29,11,21,14,15,30,16,13,25,26,22,12,1,30,13,14,6,17,15,28,17,10,26,9,1,18,1,1,9,3,8,7,2,25,26,28,10,12,27,17,10,20,9,22,16,27,5,19,3,9,6,1,24,3,24,2,6,20,2,5,18,15,11,2,6,10,21,14,29,22,19,5,26",10050,200
