run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,121113.16449475179,2.8221544545958968,10050,200
1,0,123088.66996253803,2.671791310913658,10050,200
2,0,123352.79253206255,2.950201044060908,10050,200
2,1,122702.14996831119,3.135940207176592,10050,200
3,0,125489.84148044956,2.85155361595944,10050,200
3,1,123705.71854955186,2.8981612057114967,10050,200
3,2,122430.88272132681,3.2045130038248275,10050,200
4,0,122497.26826727536,3.030172778892862,10050,200
5,0,124485.64254049717,3.0587350511970715,10050,200
6,0,136626.94503397937,3.7601155313465733,10050,200
6,1,138561.41651865336,3.630695122141666,10050,200
6,2,137303.9671775352,3.678283996227019,10050,200
6,3,140030.276973591,3.2315347182353897,10050,200
7,0,134548.42467861093,3.8684048089096703,10050,200
7,1,139308.12514782825,3.450961576498518,10050,200
7,2,134847.47276470938,3.651213226407266,10050,200
7,3,136780.06353940617,3.545878088396353,10050,200
8,0,124454.94079227844,3.156668459879096,10050,200
8,1,128350.1038564066,3.149774199006319,10050,200
8,2,128663.57512786407,3.037338527529135,10050,200
9,0,131117.93269807735,3.3439418460767656,10050,200
10,0,132822.90930748888,3.678283996227019,10050,200
10,1,133153.4749657599,3.2716488504083188,10050,200
10,2,142922.54792517785,3.1619653210239393,10050,200
10,3,132646.55377819488,3.9131038642683613,10050,200
11,0,132841.58715023295,2.8670972975433267,10050,200
11,1,127414.45901823699,3.001338705722003,10050,200
12,0,120100.37654179757,2.9428231240610616,10050,200
13,0,127184.98367247544,3.115074028073502,10050,200
13,1,131310.89715206187,2.8670972975433267,10050,200
14,0,130678.95829375852,3.2649973873662606,10050,200
15,0,135118.12877148064,3.2995323275044472,10050,200
15,1,126776.37346723398,3.4083323896942535,10050,200
15,2,129487.58285909895,3.3374344651354164,10050,200
15,3,126372.75864658489,3.636677787598573,10050,200
15,4,137830.2367583116,3.224596826171921,10050,200
16,0,126039.05108988457,3.0516195458398783,10050,200
17,0,127827.8486269201,3.3891436818214484,10050,200
17,1,127905.74672211206,3.156668459879096,10050,200
18,0,117490.87606937185,2.4153925111639243,10050,200
19,0,123778.57258662285,2.8221544545958968,10050,200
19,1,119449.8111289332,2.913124593289866,10050,200
20,0,123939.47647566763,2.8906504654526377,10050,200
20,1,124764.984052391,2.8528001698460628,10050,200
20,2,122182.51991923814,2.9940867999434255,10050,200
21,0,126096.49521885418,2.7402802415937564,10050,200
21,1,125541.5701317692,3.0516195458398783,10050,200
21,2,124922.33670044116,3.177261485651466,10050,200
22,0,124442.4029425212,2.6472691639621817,10050,200
22,1,123309.39942732995,2.83751868493136,10050,200
23,0,136563.4705870581,3.6451218882565386,10050,200
23,1,136391.02053328074,3.736917950075364,10050,200
23,2,131673.50475330878,3.9572980604837573,10050,200
23,3,136817.5955497368,3.0908866441384713,10050,200
23,4,138969.53313708364,3.0256308678952117,10050,200
24,0,134338.724193142,2.9661464379490816,10050,200
24,1,126314.05203463892,3.2649973873662606,10050,200
25,0,117591.79258274077,2.95756055918516,10050,200
25,1,120827.06410455356,2.7121688947079883,10050,200
25,2,117976.55261080543,2.798949978650345,10050,200
26,0,134862.04256619082,3.356918764534289,10050,200
27,0,120513.18862226744,2.979530037414681,10050,200
27,1,120603.03794475707,2.8831201592288838,10050,200
27,2,120651.77649438723,2.814440886699505,10050,200
28,0,128517.53167508724,2.791172284563818,10050,200
28,1,121541.63056821795,2.979530037414681,10050,200
29,0,139312.42896368814,3.0692420747768083,10050,200
29,1,130065.92868029975,3.142864814759988,10050,200
29,2,125531.15796673055,3.2248005169763783,10050,200
30,0,125860.81383374728,3.001338705722003,10050,200
30,1,122837.023078878,3.149774199006319,10050,200
30,2,128292.21832606508,2.8906504654526377,10050,200
