run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,3168562.7534182626,86.32840576248965,5000,100
0,1,3170139.234419827,83.28258806513153,5000,100
1,0,2426787.4435531576,67.94367992310289,5000,100
1,1,2426787.4435531576,67.94367992310289,5000,100
1,2,2486602.3677484277,60.742119628416894,5000,100
2,0,3161394.7652913053,81.920883427201,5000,100
3,0,3069638.059931861,75.7695924595946,5000,100
3,1,3002062.42670523,77.58765134667408,5000,100
3,2,3069638.059931861,75.7695924595946,5000,100
4,0,3086903.012168688,79.90912739789526,5000,100
5,0,2864072.7204468152,72.8912567332991,5000,100
6,0,2826978.704052831,74.27237244197686,5000,100
7,0,2788331.2955232398,74.21400569631756,5000,100
8,0,2958606.853498152,74.3608172460003,5000,100
9,0,3316189.64340723,80.67338204536314,5000,100
9,1,3066702.2426702147,81.0216656713482,5000,100
10,0,3278237.5946127935,83.0674292858502,5000,100
11,0,3079270.8156484566,79.89961081356856,5000,100
11,1,3140793.6903853556,79.4690053301268,5000,100
11,2,3080853.3663160503,79.77370269388939,5000,100
12,0,3372530.9426008533,87.67464651478817,5000,100
13,0,3687233.8288485585,97.04890249161187,5000,100
13,1,3804386.065557251,96.07749636704592,5000,100
13,2,3689441.0206567706,96.27407651159123,5000,100
14,0,3434005.023754529,89.46734678916691,5000,100
14,1,3420868.1064929757,89.84413526487444,5000,100
15,0,2402892.827492067,64.4183098310803,5000,100
16,0,3082652.083163187,87.14397746350417,5000,100
16,1,3136889.656570166,86.94748112985441,5000,100
16,2,3136889.656570166,86.94748112985441,5000,100
16,3,3158439.5930437036,85.87351342619984,5000,100
16,4,3136889.656570166,86.94748112985441,5000,100
17,0,2402519.39784387,61.803872382667535,5000,100
17,1,2391521.1101526846,61.80926555266388,5000,100
17,2,2386997.2537508146,62.63942694629096,5000,100
18,0,2836749.4433826515,72.80560515161629,5000,100
19,0,2798789.430750647,74.68872834299066,5000,100
20,0,2852859.596334637,77.86974899253062,5000,100
21,0,2958715.12223757,76.28776316133357,5000,100
21,1,2988512.958432492,76.07253868179407,5000,100
21,2,2988512.958432492,76.07253868179407,5000,100
22,0,2848374.2155506476,74.4283064979966,5000,100
22,1,2848704.823960678,74.12341830685533,5000,100
22,2,2848704.823960678,74.12341830685533,5000,100
22,3,2868125.9681470585,73.45924249650089,5000,100
23,0,2869410.0637560706,74.02469953666179,5000,100
23,1,2828725.85509906,74.73641108250419,5000,100
23,2,2869410.0637560706,74.02469953666179,5000,100
23,3,2851397.372854648,74.24165143744933,5000,100
23,4,2828725.85509906,74.73641108250419,5000,100
23,5,2869410.0637560706,74.02469953666179,5000,100
23,6,2869410.0637560706,74.02469953666179,5000,100
23,7,2851397.372854648,74.24165143744933,5000,100
23,8,2828725.85509906,74.73641108250419,5000,100
23,9,2851397.372854648,74.24165143744933,5000,100
24,0,2960110.2891797535,78.15602647797795,5000,100
25,0,3264247.6907316763,78.65905670815069,5000,100
25,1,3281807.646019079,78.17890980985966,5000,100
26,0,3294867.240535035,77.73859599632105,5000,100
26,1,3272641.518852243,82.14982435460867,5000,100
27,0,2718655.817321003,67.90043182110888,5000,100
27,1,2718655.817321003,67.90043182110888,5000,100
27,2,2718655.817321003,67.90043182110888,5000,100
27,3,2718655.817321003,67.90043182110888,5000,100
28,0,2935457.9785075905,74.96645010598445,5000,100
29,0,2811075.86387407,73.82037529137685,5000,100
30,0,2436621.0410869173,67.99701200415394,5000,100
