run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,109540.02930201568,20.941243793289292,5000,100
0,1,108540.51339627602,20.961699226616155,5000,100
0,2,109846.35604614779,20.010532374119677,5000,100
0,3,107865.92552076164,21.471630811496723,5000,100
0,4,109708.28788223377,20.248985305335466,5000,100
0,5,107214.39246549606,23.25188115667769,5000,100
0,6,109600.54716700249,20.83546601328921,5000,100
0,7,110805.28471879201,19.85908635002115,5000,100
0,8,108439.52748541492,21.228069382428902,5000,100
1,0,109067.90324793935,20.66657011169018,5000,100
1,1,107371.1947078314,32.354112966445186,5000,100
1,2,108270.2603149358,21.972764010853165,5000,100
1,3,109472.46739755315,19.129196736937324,5000,100
1,4,109327.83570092852,20.545013905370862,5000,100
1,5,108497.37069928368,20.690059177122585,5000,100
1,6,107460.26218709908,22.017059067832836,5000,100
2,0,119464.77994492068,18.651166572069503,5000,100
2,1,113279.17822951029,19.820203165324497,5000,100
2,2,109752.30067032391,20.613044325666262,5000,100
2,3,108460.3403073355,21.923296506347203,5000,100
2,4,109038.74794184176,20.805733554788077,5000,100
2,5,108002.30171011892,24.552522511842916,5000,100
2,6,107957.73309749643,29.74530737204772,5000,100
2,7,108561.38242771338,21.113806726100346,5000,100
2,8,110880.67267643585,19.890712745267304,5000,100
2,9,108002.44435718922,22.15148014382692,5000,100
3,0,130267.13097026413,19.940854606793316,5000,100
3,1,108254.75316261101,20.599392387057836,5000,100
3,2,110213.88372479129,20.230649813667196,5000,100
3,3,110536.15294544335,20.140095040849182,5000,100
3,4,110044.46743297574,20.461868745604793,5000,100
3,5,106680.92232351078,21.539387535849322,5000,100
3,6,107678.13077753282,21.25765915058284,5000,100
4,0,112500.39841117091,19.474096988428997,5000,100
4,1,111485.14783035392,19.612981031533955,5000,100
4,2,107443.30781343913,23.213347477987462,5000,100
4,3,108387.15426965278,20.078053901885166,5000,100
5,0,130683.01336799357,19.60053878244499,5000,100
5,1,114660.64021440489,20.603075960958932,5000,100
5,2,110607.12297490859,20.62643879403963,5000,100
5,3,108501.5135198426,20.863786721779007,5000,100
5,4,108217.23045668953,23.621670361293177,5000,100
5,5,108162.7143297133,28.874151831541816,5000,100
5,6,109422.63699543435,20.66518757050763,5000,100
6,0,111786.21821829362,19.445221623600222,5000,100
6,1,109920.65626487814,21.13003901446551,5000,100
6,2,110057.22970992046,20.782833488253075,5000,100
6,3,108337.63796931223,22.26692021692146,5000,100
6,4,110223.20167001532,20.295025808368866,5000,100
6,5,109973.934363231,21.00300378042278,5000,100
6,6,108709.64246646361,22.1347061290522,5000,100
6,7,109765.79139652944,21.21101412430358,5000,100
6,8,108889.47948573418,21.66503604539057,5000,100
6,9,108256.47038127396,25.557481336403065,5000,100
7,0,125613.70877534083,19.634335236554506,5000,100
7,1,126402.71221500494,19.28769143624597,5000,100
7,2,116436.71197584251,20.177637189137535,5000,100
7,3,118001.49682387947,19.679410354053612,5000,100
7,4,111267.6365315462,20.313485236395803,5000,100
7,5,113056.72540432838,20.18303097230505,5000,100
7,6,109781.51913525842,21.486263079786276,5000,100
7,7,106801.43388004487,35.84653102948837,5000,100
7,8,109985.91205689995,20.718143160866898,5000,100
7,9,107448.32922981682,23.827604563384565,5000,100
7,10,107701.11164983285,21.58355803208227,5000,100
7,11,109462.08452240645,21.546263157080762,5000,100
8,0,108550.87389133558,21.65932057568874,5000,100
8,1,112296.08951107273,20.192466209207268,5000,100
8,2,113785.3079651645,19.486315244006562,5000,100
8,3,108519.61854811378,22.57142053445708,5000,100
8,4,109963.04687132846,20.242770510010935,5000,100
8,5,107301.6399977822,22.794828305675107,5000,100
8,6,112443.64548957725,19.96383578446349,5000,100
8,7,109225.42873068826,20.290874355251223,5000,100
9,0,111387.70706408168,19.34603382978823,5000,100
9,1,109049.59047428679,20.651555366437748,5000,100
9,2,110154.26544857334,20.479072230704258,5000,100
9,3,108658.01990574873,21.166365794340706,5000,100
9,4,107871.64309792427,21.326988852501874,5000,100
10,0,132305.96966086817,19.610257794102477,5000,100
10,1,108228.50418764958,21.815295555673913,5000,100
10,2,109116.67525506603,19.78894535534029,5000,100
10,3,108180.53484805685,35.17927058191635,5000,100
10,4,108701.59295017061,21.584322214703388,5000,100
10,5,108227.22835446472,22.784800117875392,5000,100
11,0,115763.69605708214,19.839828994342213,5000,100
11,1,106452.00091906002,26.763914515283556,5000,100
11,2,109635.51573114016,21.40525291279201,5000,100
11,3,111381.08997632025,19.869154754483052,5000,100
11,4,108903.94451242991,21.882423392182577,5000,100
11,5,108006.51669058691,22.57682781409699,5000,100
11,6,109977.45880093238,19.970990298799386,5000,100
12,0,128748.94055584114,18.9958009442808,5000,100
12,1,107192.83221235665,30.88353662499035,5000,100
12,2,108253.78675522383,19.431050819416473,5000,100
12,3,107506.68951106374,22.09063541447615,5000,100
13,0,111110.35200283716,19.67154244335181,5000,100
13,1,107505.3930594699,21.265274089138092,5000,100
13,2,108947.97818029406,19.87778075642383,5000,100
13,3,106866.96129205763,23.579822807626297,5000,100
14,0,108969.32050145986,19.755962639359307,5000,100
14,1,108316.3714150022,21.0703212402244,5000,100
14,2,111294.03688416106,17.977342747486098,5000,100
14,3,107637.29268063861,23.927089396279943,5000,100
14,4,107815.87103937897,21.187748849681853,5000,100
14,5,107743.87093428083,21.721130121842762,5000,100
14,6,109340.89773105833,19.476053090678555,5000,100
15,0,114019.311461282,19.59208966201061,5000,100
15,1,107705.47974750808,21.98099777167881,5000,100
15,2,112639.46399580217,19.836975751801788,5000,100
15,3,106912.87205305773,23.426937612408747,5000,100
15,4,108430.59096013644,20.598254114423344,5000,100
15,5,109959.7896131558,20.087918630413167,5000,100
16,0,138148.5157671153,19.531685514902286,5000,100
16,1,110534.22161392999,19.606181634286774,5000,100
16,2,107498.31797468361,28.858315236282316,5000,100
16,3,107626.0254376287,22.368823461204858,5000,100
16,4,109061.39711015252,19.971944040399134,5000,100
16,5,108012.43500174777,20.79886618224946,5000,100
17,0,110661.13957541701,19.681807119923565,5000,100
17,1,107977.22487019273,22.62461995823218,5000,100
17,2,107825.52886687276,24.86597932381287,5000,100
17,3,108474.20369705609,20.407339393801117,5000,100
17,4,108270.58001131851,22.568888745993345,5000,100
17,5,108359.91554393306,22.265550503614882,5000,100
18,0,112255.98502727908,18.513379362490824,5000,100
18,1,109042.10048872106,21.63336215840349,5000,100
18,2,110357.51448461287,20.036216641977674,5000,100
18,3,109797.70816692308,20.55937918718263,5000,100
18,4,107824.78385350958,21.648325046623423,5000,100
19,0,134377.623743129,19.282918080654063,5000,100
19,1,114484.74871602499,19.817943636927623,5000,100
19,2,108973.91008666536,19.90363633181196,5000,100
19,3,108316.74909259441,20.916183663685967,5000,100
19,4,108145.11213652509,22.338644563621944,5000,100
19,5,107802.38462578402,22.72574533725543,5000,100
20,0,108710.64120323559,21.639964707973956,5000,100
20,1,107449.12501645213,25.245510405947776,5000,100
20,2,110168.32342187161,18.510984586828396,5000,100
20,3,107397.44592951293,29.45569015401388,5000,100
20,4,107912.58433945809,23.19311754200359,5000,100
20,5,108903.46192870518,20.912117157067808,5000,100
20,6,108797.79485355517,21.05643681884174,5000,100
20,7,108351.71320033654,22.192088970392636,5000,100
