run,solution_idx,f1,f2,n_evaluations,n_generations
0,0,2830757.4398799716,69.73244922434884,10050,200
0,1,2827798.2058998016,74.30195920359742,10050,200
1,0,2996469.6183902286,73.1540177171406,10050,200
1,1,2935389.7451618146,75.89212393144884,10050,200
2,0,2818997.5158523424,70.45307167299181,10050,200
3,0,2800865.649785751,69.38517114503927,10050,200
4,0,3019653.9398683207,76.5779144063508,10050,200
4,1,3087831.3171906923,76.13878430094869,10050,200
4,2,2917168.4391867016,77.42314667780596,10050,200
4,3,3103545.4555494557,74.85506757389948,10050,200
5,0,2923035.6350330096,72.54244372429878,10050,200
5,1,2845967.4203512804,73.00049868432217,10050,200
6,0,3035757.8930339664,74.35815562639866,10050,200
6,1,2978867.4471137444,74.6977931947104,10050,200
6,2,2938406.9716136386,75.34331075036715,10050,200
6,3,2925035.608975893,81.87649423466861,10050,200
7,0,2922688.423949506,71.78621252134508,10050,200
8,0,2820038.453187186,68.70839571328278,10050,200
8,1,2776909.9820270776,71.48331605924832,10050,200
9,0,2886676.9937054156,79.68015420935372,10050,200
9,1,2989710.240696171,72.9025455076368,10050,200
9,2,2918682.317379711,72.94482715148294,10050,200
10,0,3010054.9760586605,77.86573577742473,10050,200
10,1,2974926.8216140806,78.63106028468047,10050,200
10,2,3152662.9014717825,76.4825000124847,10050,200
10,3,3054021.092018798,77.14481711793556,10050,200
10,4,3054486.8230999783,76.75074576071812,10050,200
11,0,2730675.1584449396,68.39917987929184,10050,200
12,0,2798576.488170612,70.73313915574785,10050,200
13,0,2661745.2376862066,73.62609574618492,10050,200
13,1,2848431.2781487787,73.5616938913163,10050,200
14,0,2803535.4256951595,69.80948699730136,10050,200
14,1,2733813.0210864623,74.08377785651226,10050,200
15,0,2909432.588242233,73.4466210352325,10050,200
15,1,2940552.7758374433,73.1283823707302,10050,200
15,2,2857428.944706599,76.46983266726639,10050,200
16,0,2957556.1607538546,80.49281732858563,10050,200
16,1,3047928.650090827,74.67854650540356,10050,200
16,2,2976825.5781121436,79.89283118544735,10050,200
17,0,2793052.4452626836,71.9776433449516,10050,200
17,1,2864713.8405166417,70.05124534814773,10050,200
18,0,3040063.79579,74.51474893039446,10050,200
18,1,2926483.0956310197,74.76163437771,10050,200
19,0,2884246.3216755814,72.30152355351665,10050,200
20,0,2845800.258259774,74.52103936580409,10050,200
20,1,2947346.1473782714,72.22570162225071,10050,200
21,0,2934349.908536025,77.37200381808907,10050,200
21,1,3067850.608846109,76.02637902833281,10050,200
22,0,2980321.3070557793,78.89860248969173,10050,200
22,1,3143811.6450626645,74.29163615250418,10050,200
22,2,3110185.699684817,78.86558908353538,10050,200
23,0,2823295.4326350386,76.58648363011838,10050,200
23,1,2819795.489092029,78.62006407289674,10050,200
23,2,3030517.188768965,74.72525995154777,10050,200
24,0,2854343.8019207,73.147324910027,10050,200
24,1,2745892.6842656336,73.40860173140285,10050,200
25,0,2748312.6853856225,66.85143584715581,10050,200
26,0,2883390.1866361834,75.17140064430347,10050,200
26,1,3173997.0298355646,74.9089022846621,10050,200
27,0,2719146.9061064804,71.71304140921455,10050,200
28,0,2833652.814934128,71.86206329832908,10050,200
28,1,2819119.3576316107,78.37257369870996,10050,200
28,2,2867262.2360031633,71.83306672296811,10050,200
28,3,2828325.171716496,74.06845015362292,10050,200
29,0,2682243.8311181488,70.248145703829,10050,200
30,0,2977768.955808931,74.98673421452439,10050,200
30,1,2954313.058855128,78.1073639816357,10050,200
30,2,2968668.721600853,75.76780522200522,10050,200
