run,solution_idx,f1,f2,chromosome,n_evaluations,n_generations
0,0,313037.63964509685,9.246343173796596,"25,1,43,38,24,37,34,35,18,37,37,9,1,16,38,8,7,5,7,40,6,12,29,16,15,31,39,21,13,14,24,15,37,2,28,11,4,5,41,30,20,20,43,9,21,29,35,1,9,29,13,42,18,37,25,25,10,14,42,35,43,38,25,35,14,13,10,14,27,9,24,25,27,18,38,13,42,41,35,21,41,1,33,18,17,25,12,21,14,21,3,39,9,40,35,9,34,22,27,43,10,31,5,34,34,12,2,6,27,36,22,42,11,40,30,34,3,7,1,27,42,20,33,39,4,39,33,23,17,6,25,4,17,8,9,26,2,16,32,3,17,10,8,43,38,5,28,13,6,22,32,42,16,21,31,10,29,13,24,9,19,2,15,6,33,34,9,25,30,29,42,11,3,4,41,21,36,36,4,31,35,18,16,18,34,6,6,5,35,18,26,11,43,7,40,26,42,4,14,11,23,1,30,19,22,28,39,24,14,4,28,39,14,11,7,3,35,31,23,12,18,16,28,13,10,31,29,16,20,39,35,38,21,24,15,40,37,43,7,36,19,40,29,6,3,22,23,13,5,10,29,20,8,26,3,25,22,28,31,30,17,23,11,33,2,36,1,6,28,34,24,35,8,11,27,38,12,18,20,1,7,25,7,15,3,6,19,28,10,37,34,29,14,37,25,43,40,6,17,42,30,17,40,12,16,6,12,39,27,18,1,35,15,22,19,17,14,5,13,27,7,1,25,16,12,13,8,20,41,33,23,22,10,7,28,43,1,41,31,9,43,12,16,16,4,37,8,11,6,39,8,12,30,29,24,14,38,10,33,16,37,26,22,21,23,9,25,24,8,12,11,41,32,2,41,29,14,23,17,38,24,40,33,20,31,3,20,42,36,19,8,20,3,22,40,28,30,40,11,1,2,32,10,33,43,41,13,31,30,7,34,5,38,39,28,18,11,43,3,36,26,20,30,2,18,18,36,30,19,20,21,36,33,6,35,25,22,30,15,13,37,39,20,22,17,9,39,19,32,41,4,12,5,32,5,39,19,7,22,5,39,17,41,25,20,2,11,19,27,29,26,23,31,16,21,27,13,27,10,31,33,29,34,11,21,27,19,32,14,32,35,7,38,31,18,40,42,12,16,23,15,24,23,8,35,26,4,31,17,5,36,30,42,42,34,31,43,4,22,14,24,4,37,26,1,2,3,38,4,42,15,28,5,2,41,9,32,5,10,12,11,15,16,30,9,4,41,38,7,31,26,8,10,34,34,40,36,25,28,41,34,42,13,42,15,38,14,13,33,5,41,11,33,27,17,43,12,1,27,29,38,15,40,24,19,9,26,4,18,33,34,36,10,8,26,15,3,14,1,3,26,36,3,37,21,32,41,40,8,19,23,24,23,29,8,11,19,40,3,10,10,21,29,15,42,2",20100,200
0,1,313423.4039735671,9.129913866181543,"25,1,43,38,24,37,34,35,18,37,37,9,1,16,38,36,7,5,7,40,6,12,29,16,15,16,2,21,13,14,24,15,37,2,28,11,4,5,41,30,20,20,43,9,21,29,35,35,9,29,13,42,18,26,25,25,10,14,42,35,43,34,25,35,14,13,10,14,27,9,24,25,27,18,38,13,42,41,35,21,41,1,33,18,17,25,12,21,14,21,3,39,9,40,35,9,34,22,27,43,10,31,5,34,34,12,2,6,27,36,22,42,11,40,30,34,3,7,1,27,42,20,33,39,4,39,33,23,17,6,11,4,17,8,9,26,2,16,32,3,17,10,8,43,38,5,7,13,6,22,32,42,16,21,31,10,29,13,24,9,19,2,15,6,33,34,9,25,30,29,42,11,3,4,41,21,36,36,4,31,35,18,16,18,34,6,6,16,35,18,26,11,43,7,40,26,42,4,14,11,23,1,30,19,22,28,39,24,14,4,28,39,14,11,7,3,35,31,23,12,18,16,28,15,10,31,29,16,20,39,35,38,21,24,15,40,37,43,7,36,19,40,29,6,3,22,23,13,5,10,29,20,37,4,3,25,22,28,31,30,17,23,11,33,2,36,1,6,28,34,24,35,8,11,27,38,12,18,20,1,7,15,7,15,3,6,19,28,10,37,34,29,14,37,25,43,40,6,17,9,30,17,36,12,16,6,12,39,27,18,1,35,15,22,19,17,14,5,13,27,7,1,25,16,12,13,8,20,41,33,23,22,10,7,28,43,1,41,31,9,43,8,16,16,4,37,8,11,24,39,8,12,30,29,24,14,38,10,33,16,37,26,22,21,23,9,25,24,8,12,11,41,32,2,41,29,14,21,17,38,24,40,33,22,31,3,20,42,36,19,8,20,3,22,40,28,30,40,11,1,2,32,37,33,43,41,13,31,30,7,34,5,38,39,28,18,11,43,3,36,26,20,30,2,18,18,36,30,19,20,21,36,33,6,35,25,22,30,15,13,37,39,20,22,17,9,39,19,32,41,4,12,5,32,5,39,19,7,22,5,39,17,41,25,20,2,11,19,27,29,26,23,31,13,21,27,13,27,10,31,33,29,26,36,21,27,19,32,14,32,35,7,38,31,18,40,42,12,16,23,15,24,23,8,35,26,4,31,17,5,36,30,42,42,34,31,43,4,22,14,24,4,37,26,1,2,3,38,4,42,15,28,5,2,41,9,32,5,5,12,11,2,16,30,9,4,41,38,7,31,26,8,10,34,34,40,36,25,28,41,34,42,13,42,15,38,14,13,33,5,41,11,33,27,17,43,12,1,27,29,38,15,40,24,19,9,26,4,18,33,34,36,10,8,26,15,3,14,1,3,26,32,3,37,21,32,41,40,8,19,23,24,23,30,8,11,19,40,3,10,10,21,29,15,42,2",20100,200
1,0,297224.7115958391,8.840024031546102,"33,21,34,18,15,29,13,34,42,9,7,36,13,12,26,24,42,14,30,39,39,4,26,38,30,16,10,2,32,11,16,9,20,12,27,27,14,36,33,21,22,29,13,14,17,16,8,29,40,26,4,43,1,34,12,12,5,31,9,14,42,17,33,31,15,9,28,19,8,19,12,42,25,14,35,6,36,43,29,40,20,39,2,24,24,24,6,2,22,13,25,12,4,13,30,34,19,12,22,31,6,17,9,37,28,16,23,25,36,5,31,35,4,37,16,2,26,22,7,20,8,31,37,38,3,3,6,26,3,42,6,23,5,5,20,12,34,8,19,36,20,14,26,7,32,13,43,20,38,16,14,32,25,29,31,7,38,6,21,16,15,40,27,13,17,21,3,43,43,13,18,30,27,25,37,30,11,19,32,41,14,10,5,43,30,38,16,41,10,32,36,9,12,20,3,40,39,4,10,31,1,17,16,4,19,39,17,8,2,42,27,26,42,20,36,9,28,15,41,10,40,14,36,41,5,22,23,18,12,2,31,27,34,34,33,8,26,18,11,8,34,1,26,5,13,5,24,35,2,15,19,15,2,18,17,11,1,24,33,10,22,37,22,1,33,36,39,28,22,41,35,40,6,12,43,30,37,5,23,18,37,19,35,39,38,9,8,42,13,11,4,18,8,40,7,35,32,23,31,20,29,18,11,28,27,41,41,3,31,9,43,40,43,40,19,14,33,1,1,22,35,25,21,18,21,4,24,16,29,28,32,32,41,6,9,8,39,32,29,35,27,12,36,4,4,40,11,19,40,27,10,42,14,37,35,26,2,20,33,24,26,38,43,15,3,35,5,41,13,21,2,18,39,43,12,40,3,10,7,34,37,27,31,40,2,23,22,2,27,43,30,6,25,12,15,32,26,24,27,28,20,16,36,3,35,30,22,21,5,19,1,9,9,38,25,8,37,20,21,5,17,1,39,2,4,3,14,39,13,38,13,37,34,2,38,41,38,29,34,25,13,4,21,2,28,32,25,42,32,36,35,20,43,35,42,42,29,24,26,17,17,21,10,23,10,29,41,8,27,17,28,16,25,31,11,43,4,23,23,1,27,39,26,21,11,7,41,18,33,37,20,34,7,3,10,18,10,8,28,21,16,1,29,30,2,9,30,23,34,32,40,11,23,19,6,23,7,37,8,33,7,28,21,41,43,16,1,41,31,16,18,41,37,33,27,33,3,10,23,41,11,40,19,15,11,15,7,30,9,17,33,18,19,26,6,17,7,9,40,14,24,28,18,38,38,13,21,13,7,3,37,6,39,18,36,7,42,15,20,1,42,23,5,31,36,11,41,3,30,30,34,14,10,9,22,24,15,14,33,25,35,29,6,10,7,23,24,38,15,1,32,4,34,28,33,4,17,15,38,9,24,2,29,19,15,39",20100,200
1,1,304048.4400843343,8.586467272816558,"33,21,34,43,6,6,13,34,35,9,7,36,13,12,26,24,42,6,30,39,39,4,26,38,30,16,10,2,32,11,31,9,20,12,27,27,37,21,33,21,24,29,13,14,17,16,8,33,40,26,4,43,1,34,12,10,5,8,42,14,42,17,33,31,15,9,28,19,3,19,12,42,29,14,35,32,36,35,1,40,20,4,20,24,24,12,6,2,22,13,25,12,4,13,30,34,19,8,22,31,4,17,9,23,28,16,23,25,36,5,31,23,4,37,16,2,26,22,7,20,1,11,37,38,3,3,6,26,3,42,6,23,5,5,20,24,34,8,19,30,15,14,26,7,32,13,7,20,39,16,14,32,25,29,25,7,38,35,21,16,15,40,29,36,15,29,10,43,43,13,18,21,27,25,37,30,11,14,19,41,26,10,30,43,30,38,16,41,10,2,36,25,12,20,23,21,39,4,10,31,1,16,17,39,19,39,17,8,2,42,27,10,3,19,25,9,28,15,41,10,40,14,36,41,5,22,23,20,12,33,31,27,34,34,14,34,26,18,11,8,34,2,26,5,13,5,24,35,2,15,19,15,2,18,17,38,1,39,33,12,22,37,22,1,33,36,39,28,22,41,35,40,6,12,43,30,37,5,31,18,19,19,35,39,38,4,8,42,13,11,4,18,8,40,7,39,32,20,31,20,29,18,11,28,27,41,41,3,31,30,42,40,12,40,19,31,33,1,1,22,43,25,21,18,9,4,24,29,29,28,39,32,41,6,9,8,39,23,29,35,27,12,36,4,4,13,11,16,40,27,10,20,14,37,35,26,24,26,33,29,26,14,43,9,11,35,5,41,22,21,2,18,11,17,12,40,3,10,7,34,37,27,31,40,2,23,22,2,27,43,30,6,25,2,3,32,10,24,27,28,20,18,36,3,35,24,22,21,5,19,1,9,9,38,25,8,37,20,21,5,17,39,39,7,4,3,22,34,13,38,13,37,34,38,38,41,38,7,34,25,13,4,38,6,28,32,25,42,32,36,21,20,43,34,42,42,29,24,16,17,17,6,10,23,6,29,41,8,27,17,28,16,18,31,11,43,4,23,15,1,27,39,17,21,11,7,41,18,33,37,36,16,28,36,10,18,8,8,28,16,29,1,35,30,2,9,30,23,34,5,14,11,23,19,6,23,7,11,8,33,7,28,37,41,43,17,1,1,31,16,7,15,37,33,27,33,3,10,6,5,13,40,19,15,32,22,28,30,9,17,33,18,19,26,14,17,7,12,29,14,24,38,18,15,38,36,43,13,23,3,37,6,39,18,36,7,42,15,20,1,42,23,5,31,36,11,41,3,30,30,34,14,10,9,22,24,14,14,33,7,35,35,6,43,7,21,24,38,15,1,32,4,3,35,33,4,17,15,38,21,24,2,29,19,30,39",20100,200
2,0,311282.2899475149,10.090611650587082,"6,4,23,8,35,21,8,19,9,42,28,42,1,12,1,38,30,19,12,35,28,18,16,29,14,35,33,2,28,11,27,11,6,15,24,18,22,2,9,16,35,9,1,16,10,32,39,18,42,31,30,12,5,20,25,25,4,7,37,3,7,36,9,15,6,1,36,23,39,14,24,15,8,43,9,39,3,22,17,6,33,39,27,20,11,31,27,38,15,13,1,34,4,1,7,28,34,34,43,19,4,6,12,13,25,35,33,1,16,20,37,43,17,7,4,36,17,5,13,32,32,9,3,33,15,41,22,41,32,31,36,35,25,19,21,29,15,18,13,7,41,26,30,18,34,18,28,6,39,43,41,7,1,17,2,12,20,32,29,32,21,33,42,14,27,23,3,25,22,26,43,14,14,26,35,28,18,4,9,8,9,20,19,26,22,12,19,11,37,5,27,5,10,1,14,21,29,4,27,21,41,37,33,34,38,11,38,17,38,37,6,21,38,37,17,27,14,39,25,22,6,19,19,41,37,24,29,21,21,1,12,9,30,26,6,32,3,3,34,38,3,19,16,42,24,37,6,40,33,30,6,31,26,9,8,5,7,8,8,30,1,23,37,40,24,42,26,5,28,33,37,34,40,41,6,13,5,15,35,13,17,11,16,42,28,15,20,26,36,28,31,8,2,5,5,20,43,36,31,23,18,11,7,24,1,43,7,22,3,16,35,5,41,13,30,43,9,36,28,40,18,43,13,16,35,16,11,13,23,43,40,32,10,6,39,1,18,30,12,40,21,2,41,3,38,24,10,4,42,29,8,19,21,1,43,14,40,2,28,9,31,41,37,7,40,37,6,25,7,27,31,21,3,41,13,23,12,3,5,13,16,1,40,30,10,34,5,18,2,11,15,23,42,25,20,24,19,29,22,41,33,42,4,39,27,31,38,21,14,3,29,22,36,4,32,32,35,15,30,19,21,5,17,10,11,27,8,35,24,29,15,11,2,16,16,8,21,29,16,40,28,15,12,27,33,30,12,23,37,38,25,22,31,39,33,27,32,42,17,36,39,23,31,29,22,10,34,29,11,2,20,32,21,33,22,4,20,29,20,14,35,32,3,8,10,29,2,30,6,39,36,43,10,38,8,40,33,9,26,17,1,36,32,23,22,25,35,17,41,9,25,23,3,43,32,9,18,34,18,6,13,36,12,16,32,40,4,26,27,10,28,20,15,38,10,3,4,10,25,12,2,29,42,43,3,23,4,5,2,5,19,31,25,39,38,38,37,41,22,42,7,26,30,10,12,27,6,18,31,24,2,40,10,26,34,22,21,34,35,17,9,11,26,30,18,36,40,34,43,2,24,10,38,42,30,28,1,18,25,10,17,29,6,15,14,12,8,31,7,14,8,33,42,13,23,37,14,17,9,16,22,38,17,19,4,39",20100,200
2,1,320141.22952787473,10.014267809582163,"6,4,23,8,35,21,8,19,9,42,28,42,1,12,1,38,30,19,12,35,28,18,16,29,14,35,33,2,28,11,27,11,6,15,24,18,22,2,9,16,35,9,1,16,10,18,39,18,42,31,30,12,5,20,25,33,4,7,37,3,7,36,9,15,6,1,36,23,39,14,24,15,8,43,9,39,3,22,17,6,33,39,27,20,11,25,27,38,15,13,1,34,4,1,7,28,34,34,43,19,4,6,12,13,25,35,33,1,16,20,37,43,17,7,4,36,17,5,42,32,32,9,3,33,15,41,22,41,32,31,36,35,25,19,21,20,15,18,13,7,41,26,30,18,34,18,28,6,39,43,41,7,1,17,2,12,20,32,29,13,21,33,42,10,27,23,3,25,22,26,43,14,14,26,35,28,18,4,9,8,9,20,19,26,22,12,19,11,37,5,27,5,10,1,14,30,29,4,27,21,41,37,33,34,38,11,38,17,38,37,6,21,38,37,17,27,14,39,25,22,6,19,19,37,37,24,29,21,21,1,12,9,30,26,6,32,34,3,34,38,3,19,16,42,24,37,6,40,33,30,6,31,26,9,8,5,7,8,8,30,6,23,37,40,24,42,26,5,28,33,37,34,31,41,6,13,5,15,35,13,17,11,16,42,28,15,20,26,39,28,31,8,2,5,5,20,43,36,31,23,18,11,7,24,1,43,7,22,3,16,35,5,41,13,30,43,9,36,28,40,18,43,13,16,35,34,11,12,23,43,40,32,10,6,39,1,5,37,12,40,21,2,41,3,38,24,10,4,8,29,8,19,21,1,43,14,40,26,28,9,31,41,37,7,40,37,6,25,7,27,31,21,3,41,13,23,12,3,5,13,16,1,40,30,10,36,5,18,2,11,15,23,42,25,20,24,19,29,22,41,33,42,4,39,27,31,38,21,14,3,29,22,36,4,32,32,35,15,30,19,21,5,17,10,11,27,8,35,24,29,15,11,2,16,16,8,21,29,16,40,28,15,41,27,33,30,12,23,37,38,25,22,31,39,33,27,32,42,31,36,39,23,31,29,22,10,34,29,11,2,20,32,21,33,22,4,20,42,20,14,14,32,3,8,10,29,2,30,21,39,36,43,10,38,8,40,33,9,26,17,1,36,32,23,22,25,35,17,41,9,25,23,3,43,32,9,18,34,10,6,13,36,12,16,16,40,4,26,27,10,28,20,15,38,10,3,4,10,25,12,2,29,42,43,3,23,4,5,2,5,19,31,25,39,38,38,37,29,22,42,7,26,30,10,12,27,6,18,31,24,2,40,10,26,34,22,21,34,35,17,9,11,26,30,18,36,40,34,43,2,24,13,38,42,30,28,1,32,25,10,17,29,6,15,14,12,8,31,7,14,8,33,42,13,23,37,14,17,9,16,22,38,17,19,4,39",20100,200
2,2,329178.2144307478,9.916252890580218,"6,4,30,8,35,21,8,19,9,42,28,19,1,12,1,38,30,19,12,35,28,18,16,18,14,35,33,2,28,11,27,11,6,15,24,18,22,2,9,16,35,2,1,16,10,6,39,18,42,31,30,12,5,20,25,33,4,7,37,3,7,36,9,15,6,1,36,23,39,14,24,15,8,43,9,39,3,22,17,6,33,39,27,20,11,25,27,38,15,13,1,34,4,1,7,28,34,34,43,19,4,6,12,13,25,35,33,1,16,20,37,43,17,7,4,36,17,5,42,32,32,9,3,33,15,41,22,41,32,31,36,35,25,19,21,20,15,18,13,7,41,26,30,18,34,18,28,6,39,43,41,7,1,17,2,12,20,32,29,13,21,33,42,10,27,16,3,25,22,26,43,14,14,26,35,28,18,4,9,8,9,20,19,26,22,12,19,11,37,5,27,5,10,1,14,30,29,4,27,21,41,37,33,34,38,11,38,17,38,37,6,21,38,37,17,33,14,39,25,22,6,19,19,37,37,24,29,21,21,1,12,9,30,26,6,32,34,3,34,38,3,19,16,42,24,37,6,40,33,30,6,31,26,9,8,5,7,8,8,30,6,23,37,40,24,42,26,5,28,33,37,34,31,41,6,13,5,15,35,13,17,11,16,42,28,15,20,26,39,28,31,8,2,5,5,20,43,36,31,23,18,11,7,24,1,43,7,37,3,16,35,5,41,13,30,43,9,36,28,40,18,43,13,16,35,34,11,12,23,43,40,32,10,6,39,1,5,13,12,40,21,2,41,3,38,24,10,9,8,29,8,19,21,1,43,14,40,26,28,9,14,41,37,7,40,37,6,25,7,2,31,21,3,41,13,23,12,3,5,13,16,1,40,30,10,10,5,18,2,11,15,23,42,25,20,24,19,29,22,41,33,42,4,39,27,31,38,21,14,3,29,22,36,4,32,32,35,15,30,19,21,5,17,10,11,27,8,35,24,29,15,11,2,16,16,8,21,29,16,40,28,15,41,27,33,30,12,23,37,38,25,22,31,39,33,27,32,42,33,36,39,23,31,29,22,10,34,29,11,2,20,32,21,33,16,4,20,4,20,14,34,32,3,8,24,29,2,30,14,39,36,43,12,38,8,40,33,9,26,17,1,36,32,23,22,25,35,17,41,9,25,23,3,43,32,9,18,34,10,6,13,36,12,16,16,40,4,26,27,10,28,20,15,38,10,3,27,10,25,12,2,29,42,43,3,23,4,5,2,5,19,31,25,39,38,38,37,29,22,42,7,26,30,10,12,27,10,18,31,24,2,40,10,26,34,22,21,24,35,17,9,11,26,30,42,36,40,34,43,2,24,13,38,42,30,28,1,32,25,10,17,29,6,15,14,12,8,31,7,14,8,33,42,13,23,37,14,17,9,8,22,38,17,19,4,39",20100,200
3,0,327035.9563126009,11.227332792008022,"39,30,15,11,27,22,3,7,36,8,26,22,13,30,16,41,2,10,26,41,29,15,23,16,31,34,6,28,22,30,34,29,5,38,43,17,1,31,8,38,21,3,36,36,30,26,33,16,29,42,17,19,39,30,20,37,28,42,31,23,37,34,17,40,40,10,34,27,5,36,33,12,23,12,3,32,10,25,34,31,7,15,24,37,6,4,33,39,18,26,31,21,42,29,7,13,19,23,15,43,30,10,8,3,5,4,25,11,8,7,2,37,2,14,20,4,14,29,26,10,4,7,43,35,7,15,30,25,12,37,5,40,21,13,26,10,18,14,42,1,28,38,15,29,19,20,31,8,20,42,10,13,1,1,15,35,28,20,28,30,38,28,31,38,34,32,7,27,16,10,9,24,13,9,11,42,19,6,21,19,41,10,14,24,34,28,40,41,6,27,11,10,28,2,38,12,18,14,33,12,9,37,39,19,2,33,9,43,17,5,30,31,14,3,18,41,40,37,14,27,38,37,22,5,23,41,20,34,27,23,34,16,9,13,23,6,27,31,18,35,33,1,2,27,10,42,8,34,26,17,23,12,31,15,32,37,19,40,7,2,43,15,4,36,18,21,1,21,21,43,37,4,21,26,26,29,40,39,1,18,14,1,37,35,38,21,5,16,41,39,42,25,20,12,20,29,33,39,17,19,9,7,1,40,1,11,9,34,40,36,29,10,28,35,11,15,36,17,4,21,7,33,39,16,25,17,9,24,10,16,35,29,15,32,36,29,43,23,38,2,17,33,28,25,33,3,11,6,14,2,28,40,22,25,5,4,3,14,38,30,25,34,25,17,28,22,10,23,10,20,5,2,9,31,30,38,34,17,31,2,23,6,37,13,15,7,3,8,18,36,32,27,17,18,24,24,35,23,9,38,41,19,11,40,13,15,27,38,43,14,36,30,31,42,12,6,26,2,23,26,3,9,42,5,25,3,33,25,16,19,32,11,41,41,23,20,19,7,22,36,18,3,39,10,33,43,25,13,7,30,21,5,40,37,29,24,22,27,14,3,22,32,23,35,19,5,12,24,27,6,26,7,41,15,5,16,35,37,11,4,22,41,24,36,26,43,19,24,9,14,12,35,5,18,35,12,41,25,33,4,22,23,32,27,11,43,4,10,40,31,8,32,7,42,41,1,11,13,21,32,37,21,12,1,29,40,43,33,39,18,22,27,17,8,6,13,3,38,20,17,30,37,1,8,9,35,42,20,24,25,11,3,13,11,42,6,21,41,18,8,22,27,5,12,19,29,3,19,41,43,4,12,14,24,43,26,32,32,20,42,40,35,14,5,9,23,24,31,30,6,13,39,32,35,24,30,12,39,11,38,36,4,36,5,39,32,20,25,8,17,42,41,18,1,30,19,8,17,35,29,7,25,22,27,1,31",20100,200
3,1,329292.0409852455,10.060605961877895,"22,10,21,19,10,36,3,17,36,8,22,23,39,30,10,41,34,10,26,41,29,15,26,16,12,2,6,35,22,34,25,38,5,39,43,17,1,31,32,38,24,8,13,4,28,26,33,31,43,17,8,19,39,15,13,2,34,19,4,23,37,18,43,3,40,6,34,34,23,36,14,12,23,14,29,32,9,15,28,3,8,43,18,2,6,5,33,39,30,26,31,19,8,8,42,38,19,16,15,16,22,19,30,29,6,4,24,24,4,24,2,37,33,14,20,19,14,21,28,10,4,7,38,12,5,8,41,25,20,37,7,16,29,13,37,2,30,11,33,20,28,14,1,29,19,20,29,5,37,15,34,9,28,33,15,35,10,2,25,20,5,38,31,38,4,9,27,1,16,10,1,26,13,9,11,29,40,42,30,39,41,30,14,36,25,13,40,41,3,32,11,2,28,16,5,17,37,10,33,32,9,3,16,40,2,34,40,43,9,15,38,31,41,3,18,41,40,39,39,19,9,37,22,28,23,28,4,34,32,43,27,26,43,6,28,6,33,31,18,24,32,1,2,38,12,18,8,34,42,18,23,12,16,43,9,14,19,35,3,42,3,12,34,36,8,2,6,13,21,43,15,4,21,25,38,29,12,14,7,41,23,1,12,35,35,6,42,16,30,39,15,14,20,15,12,29,33,26,30,19,9,7,33,6,28,11,9,7,25,40,15,32,10,35,11,15,41,17,32,21,6,33,39,28,25,1,22,25,33,7,38,29,1,32,36,29,41,33,24,13,18,21,28,25,33,9,34,6,19,2,28,40,30,11,5,34,40,14,38,35,40,24,8,8,33,36,1,23,10,20,21,2,9,31,30,22,38,17,27,24,42,6,37,13,12,7,3,17,18,41,32,1,18,18,24,31,32,23,30,21,40,38,11,11,30,32,32,27,43,17,23,28,43,42,12,20,26,36,23,32,27,9,42,5,43,3,22,39,17,36,39,35,19,41,17,8,19,7,22,24,10,3,41,24,9,10,25,9,13,30,5,23,10,37,29,12,11,27,28,3,22,12,4,35,19,5,4,29,9,14,32,7,18,16,5,16,35,42,2,4,26,42,30,36,26,26,13,24,9,36,31,35,5,38,35,12,41,25,22,17,2,37,27,6,11,18,5,39,27,30,35,35,37,40,26,1,11,20,21,23,22,21,38,21,37,23,23,40,16,7,40,27,17,39,40,24,14,31,20,1,30,8,1,3,35,20,42,17,8,26,7,3,13,37,38,20,35,41,18,33,22,4,27,1,13,41,11,2,41,43,4,21,36,28,43,26,15,20,18,36,40,7,28,43,36,12,24,31,25,17,3,39,14,16,24,17,36,11,11,38,20,27,14,38,39,43,20,7,31,17,42,13,8,30,22,37,8,17,7,29,42,25,22,27,16,17",20100,200
4,0,319596.7264956678,9.843282527938747,"5,27,3,20,21,14,21,43,24,35,27,19,34,1,18,29,39,27,7,30,16,30,5,39,8,10,26,25,34,7,3,30,38,17,40,30,43,12,29,27,10,36,14,22,28,40,9,32,35,39,36,27,12,17,37,12,30,27,23,20,17,39,43,13,39,30,20,15,15,3,30,36,24,8,35,9,20,18,43,6,16,39,30,5,24,33,16,42,12,30,16,18,3,29,18,9,9,12,25,17,20,6,35,26,2,32,13,28,37,11,9,27,26,17,11,19,42,42,31,31,22,32,15,19,17,2,32,7,7,19,30,22,19,16,20,23,39,40,31,40,6,40,21,27,40,24,22,9,12,4,4,30,26,12,38,1,21,13,4,19,41,34,37,32,29,26,39,5,42,38,11,7,6,38,6,14,20,4,9,24,13,8,38,41,18,35,14,1,24,3,17,32,32,2,3,8,1,15,13,16,7,10,22,20,40,23,31,42,28,27,42,2,13,2,40,18,5,36,42,4,17,38,31,9,15,3,21,4,36,21,7,38,41,16,27,21,16,24,18,13,23,27,36,40,37,27,40,26,40,16,40,33,33,3,12,37,37,20,13,35,13,10,36,31,16,36,32,15,12,28,35,27,5,21,8,18,9,4,3,33,21,3,23,34,2,26,23,33,13,11,1,40,34,24,24,32,15,13,42,29,22,10,24,25,35,23,33,28,36,14,43,28,42,36,43,1,25,31,18,6,43,17,13,1,8,7,34,21,15,2,24,24,31,42,34,23,11,22,21,3,43,26,33,1,37,43,39,14,21,15,14,43,3,2,30,7,3,35,24,11,5,25,26,17,29,24,3,14,31,19,21,35,2,16,11,16,35,4,9,8,37,23,39,20,19,24,3,6,27,17,28,5,6,31,11,43,30,28,36,9,38,41,3,6,2,36,2,8,16,33,34,41,11,22,21,12,22,5,8,30,16,11,22,12,29,5,43,23,14,32,25,38,42,4,34,15,21,6,10,32,20,4,15,31,41,19,15,22,19,18,14,10,28,42,17,36,40,1,25,11,15,4,5,19,2,1,14,33,15,35,37,29,23,25,20,41,1,11,25,37,2,28,28,25,43,41,43,30,9,8,31,27,28,6,4,29,26,18,28,4,8,39,23,12,32,5,22,28,33,6,9,28,25,6,30,35,10,36,39,14,34,39,43,34,22,14,3,7,34,13,14,40,4,15,33,42,34,37,33,26,29,4,1,25,25,7,11,4,29,21,8,29,29,27,33,5,35,2,10,9,34,7,18,20,32,7,3,39,38,12,25,8,19,16,17,19,3,7,42,13,38,18,1,4,7,18,29,21,22,1,10,27,5,23,14,11,41,41,19,35,38,38,37,12,41,25,41,22,39,17,31,23,26,7,9,31,41,10,18,20,10,8,26,32,20,32",20100,200
